Town,Total Population,Total Population 90% MoE,Total Population in Poverty,Total Population in Poverty 90% MOE,Pct Population in Poverty,Pct Population in Poverty 90% MOE,Total Population Income 1-2x Poverty,Total Population Income 1-2x Poverty 90% MOE,Pct Population Income 1-2x Poverty,Pct Population Income 1-2x Poverty 90% MOE,Total Population Under 18,Total Population Under 18 90% MOE,Total Children in Poverty,Total Children in Poverty 90% MOE,Pct Children in Poverty,Pct Children in Poverty 90% MOE,Total Children Income 1-2x Poverty,Total Children Income 1-2x Poverty 90% MOE,Pct Children Income 1-2x Poverty,Pct Children Income 1-2x Poverty 90% MOE
Old Lyme,7598,21,233,150,0.031,0.02,626,227,0.082,0.03,1489,220,53,56,0.036,0.038,122,90,0.082,0.061
Preston,4751,41,483,279,0.102,0.059,745,365,0.157,0.077,964,182,200,125,0.207,0.136,260,155,0.27,0.169
Salem,4173,20,111,72,0.027,0.017,242,123,0.058,0.03,1048,151,31,39,0.03,0.038,38,56,0.037,0.054
Sprague,2986,20,256,164,0.087,0.056,238,126,0.081,0.043,650,136,105,88,0.172,0.149,27,49,0.044,0.081
Stonington,18527,39,847,268,0.046,0.015,1879,507,0.103,0.028,3551,326,193,111,0.055,0.032,220,126,0.062,0.036
Voluntown,2608,19,60,38,0.023,0.015,295,154,0.113,0.059,524,101,9,33,0.017,0.064,76,63,0.145,0.123
Waterford,19508,28,1034,273,0.054,0.014,1680,428,0.088,0.022,3850,377,147,90,0.039,0.024,386,157,0.102,0.042
Andover,3095,145,134,126,0.043,0.041,272,124,0.088,0.04,754,144,56,73,0.074,0.098,64,60,0.085,0.081
Bolton,4971,22,95,73,0.019,0.015,313,133,0.063,0.027,931,150,15,42,0.016,0.045,73,62,0.079,0.068
Columbia,5476,22,219,115,0.04,0.021,621,436,0.114,0.08,1154,211,9,50,0.008,0.044,263,165,0.228,0.148
Coventry,12435,20,384,204,0.031,0.016,822,288,0.066,0.023,2519,380,72,74,0.029,0.03,114,111,0.045,0.045
Ellington,15675,35,300,173,0.019,0.011,1261,543,0.08,0.035,4067,489,128,98,0.031,0.024,349,192,0.086,0.048
Hebron,9638,30,124,70,0.013,0.007,606,273,0.063,0.028,2533,288,6,49,0.002,0.019,207,132,0.082,0.053
Mansfield,26379,37,2431,491,0.176,0.033,1554,474,0.112,0.033,2938,353,159,101,0.059,0.038,303,208,0.112,0.078
Somers,11447,20,404,171,0.043,0.018,619,241,0.066,0.026,2226,262,111,102,0.05,0.046,199,104,0.089,0.048
Stafford,12035,28,1128,314,0.095,0.026,1494,434,0.126,0.037,2605,323,271,135,0.105,0.054,436,168,0.169,0.069
Tolland,14977,51,309,159,0.021,0.011,886,348,0.059,0.023,3946,400,50,65,0.013,0.017,269,163,0.068,0.042
Union,1041,144,8,14,0.008,0.014,65,44,0.063,0.042,208,69,2,34,0.01,0.178,18,46,0.094,0.241
Vernon,29179,33,2671,587,0.093,0.02,3700,663,0.128,0.023,5242,479,811,271,0.158,0.055,754,237,0.147,0.048
Willington,6018,16,743,328,0.123,0.054,733,315,0.122,0.052,1014,239,71,66,0.07,0.067,183,119,0.18,0.123
Ashford,4301,16,233,134,0.055,0.031,685,372,0.161,0.087,925,172,78,62,0.088,0.071,273,131,0.307,0.156
Brooklyn,8220,19,817,367,0.106,0.048,1388,547,0.181,0.071,1845,302,334,174,0.182,0.101,498,288,0.271,0.165
Canterbury,5119,21,159,115,0.031,0.022,346,137,0.068,0.027,1170,228,0,51,0,0.044,20,63,0.017,0.054
Chaplin,2408,145,110,79,0.046,0.033,194,98,0.081,0.041,531,121,35,37,0.069,0.075,45,46,0.088,0.093
Eastford,1650,133,49,29,0.03,0.018,121,49,0.074,0.03,340,61,9,33,0.027,0.099,16,40,0.047,0.118
Hampton,1815,119,115,60,0.064,0.033,141,53,0.078,0.029,333,67,27,35,0.084,0.111,25,45,0.078,0.14
Killingly,17317,22,1921,471,0.113,0.028,2899,571,0.17,0.033,3650,392,495,204,0.136,0.058,519,174,0.142,0.05
Plainfield,15320,30,1477,476,0.097,0.031,1598,423,0.105,0.028,3348,396,571,223,0.171,0.069,445,185,0.133,0.057
Pomfret,4219,21,120,102,0.029,0.025,203,112,0.049,0.027,1046,226,0,36,0,0.035,32,57,0.031,0.056
Putnam,9548,42,1040,313,0.112,0.034,2478,593,0.268,0.064,2321,336,219,120,0.098,0.056,658,251,0.294,0.12
Scotland,1739,110,34,25,0.02,0.015,229,111,0.132,0.063,411,82,18,35,0.044,0.084,84,55,0.204,0.14
Sterling,3801,14,428,246,0.115,0.066,541,267,0.146,0.072,1038,229,95,89,0.099,0.095,220,133,0.23,0.147
Thompson,9411,16,711,310,0.076,0.033,1302,386,0.139,0.041,1954,291,223,139,0.116,0.074,301,164,0.156,0.088
Windham,25315,26,5495,820,0.247,0.037,4947,769,0.223,0.034,4986,419,1711,373,0.35,0.083,1317,312,0.27,0.068
Woodstock,7932,20,236,134,0.03,0.017,615,264,0.078,0.033,1853,316,43,67,0.023,0.037,70,99,0.038,0.054
